Organization,Ftype,RoundUSS,Investor,NXTP Labs,Monashees,Kaszek Ventures,Mountain Nazca,Redpoint eventures,Bozano Investimentos,Aurus,Investo,Alta Ventures Mexico,ALLVP,Angel Ventures,IGNIA,CRP Companhia de Participaçõe,e.Bricks Ventures,Confrapar,Magma Partners,CORFO,SP Ventures,DGF Investimentos,Mercado Libre Fund,Inseed Investimentos,Criatec 2,Astella Investimentos,DILA Capital,Velum Ventures,FCP,Scale Capital,Alaya Capital,Polymath,Primary Ventures,T2m Capital,Omidyar Network,Elevar Equity,Quona Capital,Gray Matters Capital,Performa Investimentos,Vox Capital,Promotora Social México,Pomona Impact,MOV Investimentos
Nerus,Seed,"782,227.78",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipus Microelectronics,Seed,  ,Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuscaLibre,Convertible Note,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Knewin,Series A,"938,673.34",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
REBEL,Seed,  ,Monashees,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liv Up,Series A,"1,700,000.00",Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PleIQ Smart Toys,Seed,  ,Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
PayJoy,Convertible Note,"6,000,000.00","500 Startups, Daniel Scrivner, DNX Ventures, ITOCHU Corporation, NXTP Labs, Santander InnoVentures, Singularity Investments, Tekton Ventures, Think +",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bind ERP,Series A,"900,000.00","Avalancha Ventures, Capital Invent, IGNIA",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnovista,Venture - Series Unknown,  ,IGNIA,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neoway,Series C,  ,"Accel, Andrew Prozes, Monashees, Pointbreak, Pollux Capital, Temasek Holdings",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vindi,Series A,"1,859,464.63",Criatec 2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Public Goods,Seed,  ,"Bryan Rosenblatt, Daniel Scrivner, Investo, KF Ventures",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVATech,Series A,"796,685.79",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Decision6,Series A,"637,348.63",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
DeviceLab,Series A,"732,950.92",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Camino Financial,Convertible Note,"1,500,000.00","DILA Capital, Mexamerica Ventures",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Underdog,Seed,"425,400.00","IGNIA, North Base Media",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bxblue,Seed,"120,000.00","AltaIR Capital, Brad Flora, German Ventures, Global Founders Capital, Investo, KF Ventures, Leonardo Teixeira, Martin Schrimpff, Y Combinator, Yaron Samid, Zillionize Angel",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disclosures.io,Seed,"120,000.00","Brad Flora, Daniel Schryer, Investo, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apli,Seed,"1,500,000.00","ALLVP, IGNIA, Social Capital, Soldiers Field Angels",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlephCRM,Convertible Note,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Ruvix,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluesmart,Product Crowdfunding,"1,579,449.00","Endeavor Catalyst, Monashees, Tsing Capital, XG Ventures",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Series A,  ,e.Bricks Ventures,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Lentesplus,Series B,"1,500,000.00","IGNIA, InQlab, Stella Maris Partners",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Méliuz,Series B,  ,"Endeavor Catalyst, FJ Labs, Lumia Capital, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraphPath,Seed,"400,000.00","NXTP Labs, Overboost, SPiCE VC",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spacedat,Seed,"420,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACTURAMA INC,Seed,"160,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FounderList,Seed,  ,"Magma Partners, Nathan Lustig",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Auravant,Seed,"145,000.00","NXTP Labs, Wayra",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Rotonda,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afluenta,Series B,"9,000,000.00","Elevar Equity, IGNIA, International Finance Corporation, MW EAGLEWOOD",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
WEEL,Series A,"8,500,000.00","FJ Labs, Mindset Ventures, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilimo,Angel,"165,000.00","Innova Memphis, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyways,Seed,"700,000.00","Graph Ventures, Investo, Liquid 2 Ventures, NewDo Venture, NextView Ventures, Pi Campus, S2 Capital, Social Capital, UpHonest Capital, Wei Guo",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket.La,Series A,"1,102,500.00","Angel Ventures, Geoffrey Caruso GC Capital, IGNIA, On Ventures, Patrick Wakeham",,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Forma Software,Seed,"1,092,043.68",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compass,Seed,"780,031.20",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwi Campus,Seed,  ,"Adam Sah, Alexander Torrenegra, Antonio Perini, Ariel Poler, Club Italia Investimenti, Firstrock Capital, Investo, LVenture Group, Pi Campus",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chazki,Seed,"900,000.00","NXTP Labs, Wayra",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tienda Nube,Series B,"7,000,000.00","Elevar Equity, FJ Labs, IGNIA, Kaszek Ventures, NXTP Labs",1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Intellibrand,Venture - Series Unknown,"1,516,530.18",DGF Investimentos,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Neoway,Series B,"45,000,000.00","Accel, Monashees, Pointbreak, Pollux Capital, QMS Capital",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payit,Seed,  ,"Investo, Startupbootcamp FinTech Mexico City",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bom Pra Crédito,Seed,"1,819,836.21","Astella Investimentos, SP Ventures",,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
Promip,Venture - Series Unknown,"4,436,000.00",SP Ventures,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Alta Motors,Series C,"27,000,000.00","Bob Fox, Grassy Creek Ventures, Mountain Nazca",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konduto,Venture - Series Unknown,"758,265.09",Criatec 2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
KarmaPulse,Seed,"1,500,000.00","IGNIA, On Ventures",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
back4app,Seed,"770,000.00","Alchemist Accelerator, IndicatorCapital, Leonardo Teixeira, Monashees, Ricardo Morikio, Wayra",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Ladrillos,Seed,"1,400,000.00","Genesis Capital Ventures, Investo, KF Ventures",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nibo,Series A,"6,232,471.17","Redpoint eventures, Valor Capital Group, Vostok Emerging Finance",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convenia,Seed,"779,058.90","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Cornershop,Series B,"21,000,000.00","Accel, ALLVP, Creandum, Jackson Square Ventures",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confiance Medical S/A,Seed,"779,058.90","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Pulse Q&A,Seed,  ,"Array Ventures, Investo, Saarbruecker 21",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creze,Series A,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OmniBnk,Seed,  ,Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
GroupRaise,Seed,  ,"Kapor Capital, Magma Partners, Techstars Ventures",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CowMed,Series A,"636,942.68",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Sr.Pago,Series A,"3,800,000.00",IGNIA,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aplazame,Seed,845,"ALLVP, Cabiedes & Partners",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley,Seed,"3,100,000.00","Christina Cacioppo, Fuel Capital,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weeshing,Seed,"1,000,000.00","NXTP Labs, Venture Capital SpA",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viridis Energy,Series A,"955,414.01",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
BovControl,Seed,"600,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horus Aeronaves,Series A,"959,385.99",SP Ventures,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Dr.Consulta,Series C,"50,000,000.00","Belfer Management, Endeavor Catalyst, Kaszek Ventures, Madrone Capital Partners, Omidyar Network",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Returnbase,Venture - Series Unknown,  ,"Brad Flora, FundersClub, Initialized Capital, Investo, UpHonest Capital, VTF Capital, Wei Guo, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegro,Series A,"799,488.33",SP Ventures,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
weex,Series A,  ,"ALLVP, Coca-Cola Enterprises",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilimo,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speak,Seed,  ,"Investo, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bios,Seed,  ,"Ariel Poler, Endure Capital, Investo, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxouse,Seed,  ,"Investo, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idwall,Seed,"600,000.00","Canary, Florian Hagenbuch, Julio Vasconcellos, Mate Pencz, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luuna,Series A,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyways,Seed,"1,000,000.00","Investo, NextView Ventures",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventive Power,Series A,  ,Angel Ventures,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awesome Jobs,Seed,  ,Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Human Inc,Series A,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MineSense Technologies,Series C,"19,000,000.00","Aurus, Caterpillar Ventures, Chrysalix Venture Capital, Cycle Capital, Export Development Canada, Prelude Ventures, LLC",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulletin,Seed,  ,"Charge Ventures, Halogen Ventures, Investo, Notation Capital",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creditas,Series B,"19,000,000.00","International Finance Corporation, Kaszek Ventures, Naspers, QED Investors, Quona Capital, Redpoint eventures",,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Enlight México,Series B,"4,700,000.00","ALLVP, Engie",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epitrack,Seed,"805,671.93",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bling,Seed,"805,671.93",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital House,Series A,  ,Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluesmart,Series A,"12,000,000.00","ACE & Company, Endeavor Catalyst, Monashees, Mountain Nazca, Pietro Dova, Tsing Capital, XG Ventures, Yunqi Partners",,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFI,Series A,"5,000,000.00","Alpha4 Ventures, Endeavor Catalyst, Rise Capital, Velum Ventures",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Airtm,Seed,"350,000.00","Elevar Equity, IGNIA, International Finance Corporation, MW EAGLEWOOD",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Abra,Series B,"3,000,000.00",IGNIA,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbvan,Seed,"1,350,000.00","DILA Capital, Mountain Nazca",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Destácame,Seed,  ,"Accion Venture Lab, Mountain Nazca",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkanza,Series A,"6,000,000.00","ALLVP, Grupo SURA, M&G Investments, Veronorte",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Series C,"100,000,000.00","Didi Chuxing, Monashees, Riverwood Capital",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olist,Convertible Note,"2,000,000.00","Redpoint eventures, Valor Capital Group",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petsy,Venture - Series Unknown,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keteka,Seed,  ,"FounderList, Magma Partners, Theresa Preston-Werner",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Memed,Series A,"3,000,000.00","Monashees, Qualcomm Ventures, Redpoint eventures",,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escale,Series A,  ,"Global Founders Capital, Redpoint eventures",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Converus,Venture - Series Unknown,"3,900,000.00",Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IguanaFix,Series B,"16,000,000.00","Angel Ventures, Endeavor Catalyst, Qualcomm Ventures, RCV, Temasek Holdings",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rappi,Series B,"52,765,447.00","Andreessen Horowitz, Endeavor Catalyst, FJ Labs, FLOODGATE, Investo, Monashees, Redpoint eventures, Sequoia Capital, Y Combinator",,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creze,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TappTime,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangea Money Transfer,Series B,"11,600,000.00","IGNIA, Jump Capital, KGC Capital, Method Capital, The Impact Engine",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Méliuz,Series A,  ,"FJ Labs, Lumia Capital, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinedu,Convertible Note,"750,000.00","500 Startups, Advenio Capital Management, Blanca Treviño de la Vega, Eric Perez-Grovas, Gaja Capital, Mariate Arnal, NXTP Labs, Stella Maris Partners",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chazki,Venture - Series Unknown,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wright Electric Airplanes,Seed,  ,"Arab Angel Fund, Endure Capital, Investo, John D'Orazio, Proton Enterprises, Toro Ventures, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIKO,Venture - Series Unknown,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pismo,Series A,  ,Redpoint eventures,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clickOnero,Series A,  ,"Angel Ventures, Capital Indigo",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilimo,Venture - Series Unknown,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinemad.tv,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta Motors,Series B,  ,"Cedarville Investments, Grassy Creek Ventures, Modara Technologies, Mountain Nazca",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.Pago,Seed,"1,300,000.00",IGNIA,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rappi,Series A,"9,000,000.00","Andreessen Horowitz, Burch Creative Capital, Chris Burch, DST Global, Fabrice Grinda, FJ Labs, FLOODGATE, Foundation Capital, Monashees, Sequoia Capital, ZX Ventures",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infracommerce,Series C,"10,600,000.00","e.Bricks Ventures, Flybridge Capital Partners, Silvio Genesini, TransCosmos",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
RD Station,Series C,"19,200,000.00","DGF Investimentos, Endeavor Catalyst, Redpoint eventures, TPG Growth",,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Merqueo,Seed,"2,000,000.00","Mountain Nazca, Velum Ventures",,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Underdog,Seed,"322,000.00","IGNIA, North Base Media",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konduto,Seed,"748,727.16",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acsendo,Seed,"800,000.00","Velum Ventures, Veronorte",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Cre Apps,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muxi,Series B,  ,Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Miroculus,Series A,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROCAFONE,Series A,"11,378,275.00","Barn Investments, FundersClub, NXTP Labs, Sallfort Privatbank AG",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recorrido,Seed,"600,000.00","Mountain Nazca, Mountain Partners, Wayra",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vindi,Series A,"627,746.39","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Nubity,Series A,"1,800,000.00","ALLVP, Capital Invent, LIV Capital, Stella Maris Partners",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busqo,Seed,  ,"Martin Schrimpff, Velum Ventures",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
VRTIFY,Venture - Series Unknown,  ,Angel Ventures,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babytuto,Venture - Series Unknown,"550,000.00",Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSK Labs,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MineSense Technologies,Series B,"12,000,000.00","Aurus, Caterpillar Ventures, Chrysalix Venture Capital, Cycle Capital, Export Development Canada, Prelude Ventures, LLC",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nube,Seed,  ,Angel Ventures,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgraded Technologies,Seed,  ,"Greg Brockman, Investo, Ithaca Investments, ITOCHU Corporation, Kevin Mahaffey, Khaled Helioui, Liquid 2 Ventures, Paul Buchheit, v1.vc, Y Combinator, Yuri Sagalov",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contabilizei,Series A,  ,"e.Bricks Ventures, Endeavor Catalyst, Kaszek Ventures",,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Livement,Seed,  ,"Genesis Capital Ventures, Investo, KF Ventures, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDIT,Seed,"1,000,000.00","Caixa Capital Risc, Finaves S.C.R., Mountain Nazca, Nero Ventures",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vindi,Seed,"552,825.55","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Dentalia,Series B,"5,717,064.08",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BizCapital,Seed,  ,Monashees,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OnCase,Seed,"767,813.27",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWDIUM,Venture - Series Unknown,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Forma Software,Seed,"767,813.27","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Billpocket,Convertible Note,  ,"GAIN - Guadalajara Angel Investor Network, Investo, Jose Vielma",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambly,Seed,"2,149,877.15","Avichal Garg, Cherubic Ventures, Investo, Monashees, Semil Shah, Sherpa Capital, Y Combinator",,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kavak,Seed,  ,"J.D. Power and Associates, Mountain Nazca, Tresalia Capital",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DogHero,Venture - Series Unknown,"3,100,000.00",Monashees,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apli,Seed,  ,"ALLVP, BlueBox Ventures, Global Founders Capital",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enlight México,Seed,"900,000.00",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluesmart,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TappTime,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zipster,Seed,"2,000,000.00","Carlo Dapuzzo, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kubo.financiero,Series A,"7,500,000.00","Alta Ventures Mexico, Bamboo Capital Partners, Capital Invent, Endeavor Catalyst, Javier Molinar, KuE Capital, Monex Precious Metals, MONEXgroup, Tanant Capital, Vander Capital Partners, Wayra",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxi Ambiental,Series A,"966,334.16",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
The Other Guys,Venture - Series Unknown,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alephants,Seed,"300,000.00",Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayniloans,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRE Educacional,Private Equity,  ,Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VU Security,Venture - Series Unknown,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SimpleCitizen,Seed,  ,"AppleTree Capital, Investo, Peterson Ventures, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jusbrasil,Series A,"1,830,384.38","Founders Fund, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slidebean,Seed,"850,000.00","Carao Ventures, Enlaces, Firstrock Capital, Magma Partners",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
